stock_id,mean_rv,std_rv,skew_rv,mean_spread,std_spread,mean_bid_size1,mean_ask_size1,n_buckets
0,0.0044591370644420265,0.003697975084004613,3.7637498784821246,0.0010306454110225788,0.0010679964782138688,113.71710190038068,100.82534959833383,3830
1,0.004761538732406586,0.0032422715785769595,3.080663290846444,0.000695223354111223,0.00058893175792396,140.04343125054726,142.66684488289468,3830
2,0.0026004294717051875,0.0028597511190730134,5.214568454234819,0.0002632976591422594,0.0003676346882282419,195.5150976806751,200.38985203400696,3830
3,0.006875872705742546,0.004365743462024043,2.1064201187463403,0.0010902883680711732,0.0008057873036751868,130.14082354637125,137.7524075178363,3830
4,0.0046157733716871135,0.003839648815785509,4.3994780365695405,0.0009288305935442544,0.000882850195496844,103.3876752927637,98.02593974426182,3830
5,0.005553823465820742,0.0036195174101309982,2.548878843005768,0.0011707763835896619,0.0008374077449610412,66.70197311527308,69.4611575079934,3830
6,0.007587260865568051,0.004374263702481414,2.0060182153595285,0.0009661672910779865,0.0006360187489698106,140.71215910649346,159.55722850258286,3830
7,0.003480253080173101,0.0022705814237712093,3.19796586613706,0.0006501451069558411,0.0004231061527906426,161.4527088265414,171.55059060586336,3830
8,0.004725123499292933,0.00332721631790102,2.164171449629769,0.0006385125019050872,0.00042760757074319434,177.76318412632142,180.2615480668992,3830
9,0.006078210871903486,0.00416060312780655,2.2334088943828116,0.0012861515819692052,0.0010258095250691985,132.38398312756166,144.21403081965013,3830
10,0.0037970641375987967,0.002797679913662348,2.802420814462422,0.0003492737042230158,0.0002983645993110773,318.0191081137475,320.15001642170364,3830
11,0.005087866360207241,0.003954118334329992,3.4327617034014284,0.0008727741927269881,0.0008749972525229655,177.0253787993612,174.92388753364403,3830
13,0.002724865238909294,0.002495465195401498,5.989603397182604,0.0003174309942285639,0.00030075841501422387,680.0682243074053,682.8737456552487,3829
14,0.0029605539819512403,0.0025074637972604336,5.039533262526077,0.0001925097730595943,0.00019087099861175096,248.26258942688335,233.6630858664511,3830
15,0.004028876067450387,0.0031607599233211786,4.735916083243963,0.0005691227848923329,0.000586101483451392,156.99868216484876,150.503169414962,3830
16,0.004612470693586895,0.003988617120060714,3.9514697827639993,0.0010352858218966963,0.00107330466524664,121.33060133660466,120.37352217569159,3830
17,0.004493445024182704,0.003531794744809363,3.00841431383951,0.0006154991086123137,0.0005394375768492096,101.83852960146504,106.53225928901558,3830
18,0.009492959492605405,0.005834075862869147,1.9623444769451412,0.0022417352341062165,0.0014742216676436484,63.904956699208405,72.23567721066448,3830
19,0.003210427193493231,0.002907882538336607,4.752540815824531,0.0005692532575575579,0.0006362787944727913,201.7117978680216,189.74605935555155,3830
20,0.0032051994224594656,0.0027007716197497023,4.236735027260214,0.0003849841165466032,0.0003964152739578617,146.3798285133146,152.96595720610574,3830
21,0.002728998832603371,0.0022133717079798818,4.055757633154913,0.0003638656625786136,0.00020542226213531915,934.2563817477629,955.4414418237526,3830
22,0.005203730393729553,0.003564638916332347,2.581519102166922,0.0009464542880386794,0.0008026643260134228,106.98786901217323,107.42458788773513,3830
23,0.004755730012181275,0.003249604698378156,2.3085291695826102,0.0007466221953935968,0.0005663701804701855,97.85996137621689,100.08738093139803,3830
26,0.0034679825046064878,0.0028778451790997693,4.0888143015993315,0.0004914510900506342,0.0005618844851628693,207.0644517708677,213.84200948861158,3830
27,0.007434283552393033,0.0054808483646060745,2.850683766928751,0.0016421923937062317,0.0013134534804251801,94.56309852672986,95.04786153161022,3830
28,0.0031943436056653357,0.0027236173678984736,4.8665573939845785,0.0004317706708921137,0.00042148585586322494,212.95926618601348,211.7135462528611,3830
